NZAA,Auckland International,IAA
NZAG,Matarangi
NZAN,Alfredton
NZAP,Taupo
NZAR,Ardmore Aerodrome
NZAS,Ashburton
NZBA,Balclutha
NZCB,Centre Bush
NZCH,Christchurch International
NZCI,Chatham Islands
NZCS,Cromwell Racecourse
NZCX,Corromandel
NZDA,Dargaville
NZDN,Dunedin
NZDV,Dannevirke
NZFF,Forest_Field
NZFH,Fox Glacier
NZFP,Pine Park
NZGA,Galatea
NZGB,Great Barrier
NZGC,Gore
NZGM,Greymouth
NZGS,Gisborne
NZGT,Glentanner
NZGY,Glenorchy
NZHA,Hawera
NZHB,Hobsonville
NZHK,Hokitika
NZHN,Hamilton
NZHR,Hanmer Springs
NZHS,Hastings
NZHT,Haast
NZIR,McMurdo Station Ice Runway
NZKF,Kaipara Flats
NZKI,Kaikoura
NZKK,Kerikeri
NZKM,Karamea
NZKO,Kaikohe
NZKT,Kaitaia
NZLE,Lake Station
NZLX,Alexandra
NZMA,Matamata
NZMC,Mount Cook
NZME,Mercer Airfield
NZMF,Milford Sound
NZMJ,Martins Bay
NZMJ,Motueka
NZMO,Manapouri Te Anau
NZMR,Murchison
NZMS,Hood Aerodrome
NZMT,Martinborough
NZNE,North Shore
NZNP,New Plymouth
NZNR,Napier
NZNS,Nelson
NZNV,Invercargill
NZOA,Omarama
NZOH,Ohakea
NZOM,Omaka
NZOP,Opotiki
NZOU,Oamaru
NZOX,Okiwi Station
NZPG,McMurdo Station Pegasus Field
NZPH,Pudding Hill
NZPI,Parakai
NZPK,Pikes Point
NZPM,Palmerston North
NZPN,Picton
NZPP,Paraparaumu
NZQN,Queenstown
NZRA,Raglan
NZRC,Ryans Creek
NZRK,Rangitaiki
NZRO,Rotorua
NZRT,Rangiora
NZRU,Waiouru
NZRV,Reeve
NZRW,Ruawai
NZRX,Roxburgh
NZSD,Stratford
NZSL,Springhill
NZTA,Te Aroha
NZTE,Te Kowhai
NZTG,Tauranga
NZTH,Thames
NZTI,Taieri
NZTK,Takaka
NZTL,Tekapo
NZTM,Taumarunui
NZTN,Turangi
NZTO,Tokoroa
NZTT,Te Kuiti
NZTU,Timaru
NZTZ,Te Anau
NZUK,Pukaki
NZUN,Pauanui beach
NZVL,Mandeville
NZWB,Woodbourne
NZWD,McMurdo Station
NZWF,Wanaka
NZWK,Whakatane
NZWL,West Melton
NZWM,Waimate
NZWN,Wellington International
NZWO,Wairoa
NZWP,Whenuapai
NZWR,Whangarei
NZWS,Westport
NZWT,Whitianga
NZWU,Wanganui
NZWV,Waihi Beach
NZYP,Waipukurau
Carrier, Carrier Approach
Frigate, Frigate Approach
Oil Rig Large, Oil Rig Approach
Oil Rig Small, Oil Rig Approach