RADIO AID,IDENT,FREQ,REFERENCE
ALEXANDRA NDB,LX,386,ALEXANDRA NDB
ALEXANDRA DME,LX,117.1,ALEXANDRA DME
ASHBURTON NDB,AS,254,ASHBURTON NDB
AUCKLAND VOR,AA,114.8,AUCKLAND VOR/DME
NZAA ILS RWY-05R,IAA,110.3,NZAA 05R ILS-cat-I
NZAA GLS RWY-05R,IAA,110.3,NZAA 05R GS
NZAA ILS RWY-23L,IMG,109.9,NZAA 23L ILS-cat-I
NZAA GLS RWY-23L,IMG,109.9,NZAA 23L GS
CHATHAM ISLAND NDB,CI,322,CHATHAM (CHATHAM ISLANDS) NDB
CHRISTCHURCH VOR,CH,115.3,CHRISTCHURCH VOR/DME
NZCH ILS RWY-02,ICH,109.9,NZCH 02 ILS-cat-I
NZCH GLS RWY-02,ICH,109.9,NZCH 02 GS
NZCH ILS RWY-20,IHW,110.3,NZCH 20 ILS-cat-I
NZCH GLS RWY-20,IHW,110.3,NZCH 20 GS
DUNEDIN NDB,BE,394,BERRIDALE (DUNEDIN) NDB
DUNEDIN NDB,HL,378,HENLEY (DUNEDIN) NDB
DUNEDIN NDB,MI,358,MOSGIEL NDB
DUNEDIN DME,HL,115.7,HENLEY (DUNEDIN) DME
DUNEDIN VOR,SW,112.7,SWAMPY (DUNEDIN) VOR/DME
NZDN ILS RWY-03,IMN,110.3,NZDN 03 ILS-cat-I
NZDN GLS RWY-03,IMN,110.3,NZDN 03 GS
NZDN ILS RWY-21,IDN,109.9,NZDN 21 ILS-cat-I
NZDN GLS RWY-21,IDN,109.9,NZDN 21 GS
FERRY NDB,FY,226,FERRY (WELLINGTON) NDB
GISBORNE VOR,GS,114.2,GISBORNE VOR/DME
GREAT BARRIER NDB,GD,274,GREAT BARRIER NDB
HAMILTON VOR,HN,114.0,HAMILTON VOR/DME
HOKITIKA NDB,HK,310,HOKITIKA NDB
HOKITIKA DME,HK,117.5,HOKITIKA DME
INVERCARGILL VOR,NV,116.8,INVERCARGILL VOR/DME
KAIKOURA NDB,KI,350,KAIKOURA NDB
KAITAIA NDB,KT,238,KAITAIA NDB
KERIKERI NDB,KK,226,KERIKERI NDB
KERIKERI DME,KK,116.1,KERIKERI DME
MANAPOURI NDB,MO,346,MANAPOURI NDB
MANAPOURI DME,MO,117.8,MANAPOURI DME
MIRANDA NDB,RD,314,MIRANDA NDB
MOUNT MARY DME,RY,112.5,MOUNT MARY DME
NAPIER VOR,NR,113.8,NAPIER VOR/DME
NELSON VOR,NS,113.1,NELSON VOR/DME
NEW PLYMOUTH VOR,NP,114.4,NEW PLYMOUTH VOR/DME
OHAKEA VOR,OH,117.1,OHAKEA VOR/DME
NZOH ILS RWY-09,IRM,110.7,NZOH 09 ILS-cat-I
NZOH GLS RWY-09,IRM,110.7,NZOH 09 GS
NZOH ILS RWY-27,IOH,111.1,NZOH 27 ILS-cat-I
NZOH GLS RWY-27,IOH,111.1,NZOH 27 GS
OHURA DME,OH,113.0,OHURA DME
PALMERSTON NORTH VOR,PM,113.4,PALMERSTON NORTH VOR/DME
PARAPARAUMU NDB,PP,242,PARAPARAUMU NDB
PARAPARAUMU DME,PP,117.3,PARAPARAUMU DME
QUEENSTOWN VOR,QN,113.6,QUEENSTOWN VOR/DME
ROTORUA VOR,RO,112.1,ROTORUA VOR/DME
SURREY NDB,SY,350,SURREY NDB
TAUMARUNUI NDB,TM,1630,TAUMARUNUI NDB
TAUPO NDB,AP,230,TAUPO NDB
TAUPO DME,AP,116.7,TAUPO DME
TAURANGA NDB,TG,346,TAURANGA NDB
TAURANGA DME,TG,113.2,TAURANGA DME
TIMARU NDB,TU,366,TIMARU NDB
TIMARU DME,TU,115.9,TIMARU DME
TORY DME,TR,114.6,TORY DME
WAIUKU DNB,WI,254,WAIUKU NDB
WELLINGTON VOR,WN,112.3,WELLINGTON VOR/DME
WELLINGTON NDB,NL,358,NEWLANDS (WELLINGTON) NDB
NZWN ILS RWY-16,IEB,110.3,NZWN 16 ILS-cat-I
NZWN GLS RWY-16,IEB,110.3,NZWN 16 GS
NZWN ILS RWY-34,IMP,109.9,NZWN 34 ILS-cat-I
NZWN GLS RWY-34,IMP,109.9,NZWN 34 GS
WESTPORT NDB,WS,278,WESTPORT NDB
WESTPORT DME,WS,116.9,WEST PORT DME
WHAKATANE NDB,WK,362,WHAKATANE NDB
WHAKATANE DME,WK,117.7,WHAKATANE DME
WHANGANUI NDB,WU,382,WHANGANUI NDB
WHANGANUI DME,WU,116.0,WHANGANUI DME
WHANGAREI NDB,SF,366,SPRINGFIELD (WHANGAREI) NDB
WHANGAREI NDB,WR,326,WHANGAREI NDB
WHANGAREI DME,WR,117.3,WHANGAREI DME
WHENUAPAI VOR,WP,116,4,WHENUAPAI (AUCKLAND) VOR/DME
NZWP ILS RWY-03,IWI,110.7,NZWP 03 ILS-cat-I
NZWP GLS RWY-34,IMP,109.9,NZWP 03 GS
NZWP ILS RWY-21,IWP,111.1,NZWP 21 ILS-cat-I
NZWP GLS RWY-21,IWP,111.1,NZWP 21 GS
WOODBOURNE VOR,WB,115.6,WOODBOURNE VOR/DME